supermercado,nombre,nombre_limpio,precio,url,seccion
ahorramas,Ragout de añojo,ragout de anojo,13.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Cebolla dulce,cebolla dulce,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana golden,manzana golden,2.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Lacón de jamón Mrm,lacon de jamon mrm,13.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Contramuslos de pollo,contramuslos de pollo,5.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo adobada cerdo duroc,cinta de lomo adobada cerdo duroc,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Kiwi SunGold Zespri,kiwi sungold zespri,7.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Piña premadurada,pina premadurada,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pera conferencia,pera conferencia,3.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Alas de pollo frescas,alas de pollo frescas,4.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pollo limpio entero,pollo limpio entero,3.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Merluza en filetes,merluza en filetes,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Langostino cocido gordo,langostino cocido gordo,10.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Melocotón rojo,melocoton rojo,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chuleta de aguja de cerdo duroc,chuleta de aguja de cerdo duroc,5.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Frial asada,pechuga de pavo frial asada,19.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido extra Campofrío,jamon cocido extra campofrio,14.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Melon Marymar,melon marymar,1.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Kiwi Green Zespri,kiwi green zespri,5.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Mango,mango,3.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Repollo,repollo,1.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate azul,tomate azul,4.89,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE de pollo 1 kg pechugas + 1 kg de traseros + 1 kg de alas,lote de pollo 1 kg pechugas + 1 kg de traseros + 1 kg de alas,5.66,https://www.ahorramas.com/frescos,frescos
ahorramas,"Cinta de lomo de cerdo duroc adobada por media pieza de peso aprox 1,4kg","cinta de lomo de cerdo duroc adobada por media pieza de peso aprox 1,4kg",8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana roja,manzana roja,2.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Panceta de cerdo duroc,panceta de cerdo duroc,7.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Traseros de pollo,traseros de pollo,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pera ercolina,pera ercolina,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chicharrón frito Frial,chicharron frito frial,11.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Croquetas de pollo y jamón,croquetas de pollo y jamon,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Naranja Fontestad,naranja fontestad,3.39,https://www.ahorramas.com/frescos,frescos
