supermercado,nombre,nombre_limpio,precio,url,seccion
alcampo,Kiwi amarillo ecológico 300 g.,kiwi amarillo ecologico 300 g.,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Kiwis 600 g. aprox.,alcampo cultivamos lo bueno kiwis 600 g. aprox.,4.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Golden bandeja,manzanas golden bandeja,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate asurcado a granel,tomate asurcado a granel,4.39,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Granadas a granel,granadas a granel,2.35,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Naranja a granel,naranja a granel,2.09,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Repollo,repollo,4.98,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Manzanas golden ecológica Bandeja 700 g.,alcampo cultivamos lo bueno ecologico manzanas golden ecologica bandeja 700 g.,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Jengibre a granel,jengibre a granel,2.80,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"BE PLUS Bolsita de avena y frutas (manzana, plátano y arándanos) ecológica BE PLUS Bio 100 g.","be plus bolsita de avena y frutas (manzana, platano y arandanos) ecologica be plus bio 100 g.",1.00,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Papayas a granel,papayas a granel,5.24,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Alcachofa a granel,alcachofa a granel,2.50,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,CAÑA NATURE Pulpa de aguacate fresco para untar CAÑA NATURE Tarrina de 150g.,cana nature pulpa de aguacate fresco para untar cana nature tarrina de 150g.,1.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Fuji bandeja,manzanas fuji bandeja,3.79,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pimientos amarillos a granel,pimientos amarillos a granel,2.15,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Patatas rojas a granel,patatas rojas a granel,1.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Mango maduro 400 gr. aproximados,mango maduro 400 gr. aproximados,4.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Lombarda,lombarda,3.58,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Paraguaya bandeja de 600 g.,paraguaya bandeja de 600 g.,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana pack 4 uds. x 100 g.,alcampo cultivamos lo bueno compota de manzana pack 4 uds. x 100 g.,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"INNOCENT Smoothie kiwi, manzana y lima 250 ml.","innocent smoothie kiwi, manzana y lima 250 ml.",2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Coco 1 ud.,coco 1 ud.,1.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,INNOCENT Smoothie fresa y plátano 250 ml.,innocent smoothie fresa y platano 250 ml.,2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas Ambrosia bandeja,manzanas ambrosia bandeja,4.09,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Compota de manzana y mango pack 4 uds. x 100 g.,alcampo cultivamos lo bueno compota de manzana y mango pack 4 uds. x 100 g.,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Melocotones amarillos, bandeja de 600 gr","melocotones amarillos, bandeja de 600 gr",3.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
