supermercado,nombre,precio,url,seccion
ahorramas,Chuletas de pavo al ajillo,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ciruela roja,"3,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pollo amarillo Pazo de Pías,"9,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana fuji,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate azul,"4,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Morcillo de añojo,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Contramuslos de pollo,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo fresca de cerdo duroc,"8,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Frial asada,"19,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate Cherokee,"4,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Longaniza de pollo gourmet,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento verde lamuyo,"3,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido extra Campofrío,"14,29€",https://www.ahorramas.com/frescos,frescos
ahorramas,Traseros de pollo amarillo Pazo de Pías,"5,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE de Pollo: 1Kg de Contramuslos + 1Kg de Jamoncitos,"5,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo adobada,"8,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pera de agua,"2,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo,"8,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lacón de jamón Mrm,"13,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Repollo,"1,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1 kg de pechugas + 1 kg de jamoncitos + 1 kg de contramuslos de pollo,"6,32€",https://www.ahorramas.com/frescos,frescos
ahorramas,Carrillada de cerdo,"13,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tira de costilla de cerdo,"10,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo embuchado de Teruel Monroyo,"18,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Conejo,"8,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Alas de pollo frescas,"4,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón en lomos,"22,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chuleta de lomo cerdo duroc,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chirimoya,"5,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Campofrío braseado,"15,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Choped ham gourmet Tello,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1kg de pechugas + 1kg de traseros de pollo,"5,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cordero lechal por medios,"18,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Alcachofa,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Entrecotte de vaca,"21,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana Granny Smith,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento rojo italiano,"4,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mejillón extra,"4,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Coliflor pieza 800g aproximadamente,"1,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bonito del norte en rodajas,"11,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Sandia Fashion,"2,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tournedo añojo 1ªA,"19,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón cocido extra Alipende,"9,90€",https://www.ahorramas.com/frescos,frescos
ahorramas,Potón del Pacífico en anillas,"13,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso barra Larsa,"11,95€",https://www.ahorramas.com/frescos,frescos
ahorramas,Nectarina,"3,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamoncitos de pollo (Muslos de pollo),"4,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso havarti Arla,"15,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso barra Alipende,"10,67€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo de cerdo duroc al ajillo,"8,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE de Pollo: 1Kg de Pechugas + 1Kg de Alas,"6,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadela ibérica ElPozo,"8,95€",https://www.ahorramas.com/frescos,frescos
ahorramas,Secreto de cerdo duroc,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón raza duroc Batalle al corte,"40,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Merluza por medias o enteras peso aproximado pieza 4kg,"17,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ragout de añojo selección,"16,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Sardinas parrochas,"4,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Pavofrío,"14,25€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salchichón extra Oliveras,"10,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Entrañas de añojo,"12,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pera ercolina,"3,59€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cecina Ezequiel al corte,"34,00€",https://www.ahorramas.com/frescos,frescos
ahorramas,Trucha Arcoíris,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Melón,"2,15€",https://www.ahorramas.com/frescos,frescos
ahorramas,Bacalao en filetes,"16,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadela ahumada Mrm,"7,90€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de oveja curado Flor De Esgueva,"26,53€",https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2 kg de traseros + 1 kg de alas de pollo,"4,32€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo ElPozo sin grasa y reducida en sal,"13,95€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salami extra il vecchio Sola,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo de cerdo ibérico adobado,"19,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate rosa,"4,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Alas de pollo amarillo Pazo de Pías,"6,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate cherry Sunstream,"13,56€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ventresca de atún aleta amarilla pieza 900g - 1kg,"11,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Gambón,"10,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Longaniza payés Pirineu media o entera pieza 450g aproximadamente,"17,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana reineta,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Atún en lomos,"17,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Costilla de cerdo adoba Alipende,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Gamba arrocera,"16,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Queso semicurado García Baquero,"16,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lombarda,"1,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Chirla,"13,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo de cebo 50% raza ibérica,"40,00€",https://www.ahorramas.com/frescos,frescos
